Date,Name,Type,Currency,Amount,Transaction ID
10/29/2009,Programming Services,Hourly Payment,USD,50.20,PS123
10/25/2009,Programming Services,Hourly Payment,USD,30.23,PS124
09/23/2009,Programming Services,Flat Rate,USD,100.12,PS125
09/21/2009,VMware Services,Hourly Payment,USD,20.00,VM123
09/21/2009,VMware Services,Hourly Payment,AUD,24.00,VM124
09/21/2009,VMware Services,Flat Rate,USD,13.00,VM125
09/21/2009,VMware Services,Flat Rate,AUD,13.00,VM126
08/21/2009,How-to Writing,No. Of Pages,AUD,13.00,HW123
07/21/2009,Salary Payment,Flat Rate,AUD,-500.00,SAL123
06/21/2009,Salary Payment,Flat Rate,AUD,-900.00,SAL124
15/29/2009,Programming Services,Hourly Payment,USD,-50.20,PS221
15/29/2009,Programming Services,Hourly Payment,USD,-60.20,PS223